192.241.215.42 - - [25/May/2022:10:10:26 +0000] "GET /actuator/health HTTP/1.1" 500 399121 "-" "Mozilla/5.0 zgrab/0.x"
193.118.53.202 - - [25/May/2022:10:22:37 +0000] "GET / HTTP/1.1" 404 32091 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
77.204.106.32 - - [25/May/2022:10:46:59 +0000] "GET / HTTP/1.1" 404 32075 "-" "Mozilla/5.0 (Linux; Android 11; RMX2001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
77.204.106.32 - - [25/May/2022:10:47:15 +0000] "GET /favicon.ico HTTP/1.1" 500 1319086 "http://rayzen.ddns.net/" "Mozilla/5.0 (Linux; Android 11; RMX2001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
35.196.132.85 - - [25/May/2022:10:47:49 +0000] "GET / HTTP/1.1" 404 32098 "-" "Mozilla/5.0 (compatible; Discordbot/2.0; +https://discordapp.com)"
87.88.145.183 - - [25/May/2022:10:48:04 +0000] "GET / HTTP/1.1" 404 32091 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"
85.202.169.120 - - [25/May/2022:10:59:49 +0000] "GET / HTTP/1.1" 404 32082 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0"
185.44.81.114 - - [25/May/2022:11:18:30 +0000] "POST /cgi-bin/index2.asp HTTP/1.1" 500 1319196 "http://93.29.97.77:80/cgi-bin/index2.asp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.44"
185.44.81.114 - - [25/May/2022:11:18:45 +0000] "" 400 0 "-" "-"
77.204.106.32 - - [25/May/2022:11:24:53 +0000] "GET /api HTTP/1.1" 500 1319002 "-" "Mozilla/5.0 (Linux; Android 11; RMX2001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
104.140.188.22 - - [25/May/2022:11:39:38 +0000] "GET / HTTP/1.1" 404 32098 "-" "https://gdnplus.com:Gather Analyze Provide."
